Unused bits: 12.66%

Nr.     Instruction                     Format                                                                                                                                
  140   ADD (rrr,rrr),(nnn,r),n,rrr     oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
  141   ADD (rrr,rrr),(nnn,rr),n,rrr    oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
  142   ADD (rrr,rrr),(nnn,rrr),n,rrr   oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                      
  143   ADD (rrr,rrr),(nnn),n,rrr       oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                                               
  144   ADD (rrr,rrr),(rrr,nnn),n,rrr   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                                                      
  145   ADD (rrr,rrr),(rrr,r),n,rrr     oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
  146   ADD (rrr,rrr),(rrr,rr),n,rrr    oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
  147   ADD (rrr,rrr),(rrr,rrr),n,rrr   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                                                        
  148   ADD (rrr,rrr),(rrr),n,rrr       oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
  149   ADD (rrr,rrr),fr                oooooooo uuuAAAAA uuuBBBBB uuuuCCCC                                                                                                   
  150   ADD (rrr,rrr),nnnn,n,nnn        oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD EEEEEEEE EEEEEEEE EEEEEEEE                                    
  151   ADD (rrr,rrr),nnnn,n            oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD                                                               
  152   ADD (rrr,rrr),r                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  153   ADD (rrr,rrr),rr                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  154   ADD (rrr,rrr),rrr               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  155   ADD (rrr,rrr),rrrr              oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  156   ADD (rrr),(nnn,nnn),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                             
  157   ADD (rrr),(nnn,r),n,rrr         oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
  158   ADD (rrr),(nnn,rr),n,rrr        oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
  159   ADD (rrr),(nnn,rrr),n,rrr       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                               
  160   ADD (rrr),(nnn),n,rrr           oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC uuuDDDDD                                                                        
  161   ADD (rrr),(rrr,nnn),n,rrr       oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                                                               
  162   ADD (rrr),(rrr,r),n,rrr         oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
  163   ADD (rrr),(rrr,rr),n,rrr        oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
  164   ADD (rrr),(rrr,rrr),n,rrr       oooooooo uuuAAAAA uuuBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                                                                 
  165   ADD (rrr),(rrr),n,rrr           oooooooo uuuAAAAA uuuBBBBB CCCCCCCC uuuDDDDD                                                                                          
  166   ADD (rrr),fr                    oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  167   ADD (rrr),nnnn,n,nnn            oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD                                             
  168   ADD (rrr),nnnn,n                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC                                                                        
  169   ADD (rrr),r                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  170   ADD (rrr),rr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  171   ADD (rrr),rrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  172   ADD (rrr),rrrr                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  173   ADD fr,(nnn,nnn)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  174   ADD fr,(nnn,r)                  oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  175   ADD fr,(nnn,rr)                 oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  176   ADD fr,(nnn,rrr)                oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  177   ADD fr,(nnn)                    oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  178   ADD fr,(rrr,nnn)                oooooooo uuuuAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  179   ADD fr,(rrr,r)                  oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  180   ADD fr,(rrr,rr)                 oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  181   ADD fr,(rrr,rrr)                oooooooo uuuuAAAA uuuBBBBB uuuCCCCC                                                                                                   
  182   ADD fr,(rrr)                    oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  183   ADD fr,fr                       oooooooo uuuuAAAA uuuuBBBB                                                                                                            
  184   ADD fr,nnnn                     oooooooo uuuuAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
  185   ADD fr,r                        oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  186   ADD fr,rr                       oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  187   ADD fr,rrr                      oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  188   ADD fr,rrrr                     oooooooo uuuuAAAA uuuBBBBB                                                                                                            
  189   ADD r,(nnn,nnn)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  190   ADD r,(nnn,r)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  191   ADD r,(nnn,rr)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  192   ADD r,(nnn,rrr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  193   ADD r,(nnn)                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  194   ADD r,(rrr,nnn)                 oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  195   ADD r,(rrr,r)                   oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  196   ADD r,(rrr,rr)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  197   ADD r,(rrr,rrr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  198   ADD r,(rrr)                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  199   ADD r,fr                        oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  200   ADD r,n                         oooooooo uuuAAAAA BBBBBBBB                                                                                                            
  201   ADD r,r                         oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  202   ADD rr,(nnn,nnn)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  203   ADD rr,(nnn,r)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  204   ADD rr,(nnn,rr)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  205   ADD rr,(nnn,rrr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  206   ADD rr,(nnn)                    oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  207   ADD rr,(rrr,nnn)                oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  208   ADD rr,(rrr,r)                  oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  209   ADD rr,(rrr,rr)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  210   ADD rr,(rrr,rrr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  211   ADD rr,(rrr)                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  212   ADD rr,fr                       oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  213   ADD rr,nn                       oooooooo uuuAAAAA BBBBBBBB BBBBBBBB                                                                                                   
  214   ADD rr,r                        oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  215   ADD rr,rr                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  216   ADD rrr,(nnn,nnn)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  217   ADD rrr,(nnn,r)                 oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  218   ADD rrr,(nnn,rr)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  219   ADD rrr,(nnn,rrr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  220   ADD rrr,(nnn)                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  221   ADD rrr,(rrr,nnn)               oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  222   ADD rrr,(rrr,r)                 oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  223   ADD rrr,(rrr,rr)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  224   ADD rrr,(rrr,rrr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  225   ADD rrr,(rrr)                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  226   ADD rrr,fr                      oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  227   ADD rrr,nnn                     oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  228   ADD rrr,r                       oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  229   ADD rrr,rr                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  230   ADD rrr,rrr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  231   ADD rrrr,(nnn,nnn)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                               
  232   ADD rrrr,(nnn,r)                oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  233   ADD rrrr,(nnn,rr)               oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  234   ADD rrrr,(nnn,rrr)              oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC                                                                                 
  235   ADD rrrr,(nnn)                  oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB                                                                                          
  236   ADD rrrr,(rrr,nnn)              oooooooo uuuAAAAA uuuBBBBB CCCCCCCC CCCCCCCC CCCCCCCC                                                                                 
  237   ADD rrrr,(rrr,r)                oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  238   ADD rrrr,(rrr,rr)               oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  239   ADD rrrr,(rrr,rrr)              oooooooo uuuAAAAA uuuBBBBB uuuCCCCC                                                                                                   
  240   ADD rrrr,(rrr)                  oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  241   ADD rrrr,fr                     oooooooo uuuAAAAA uuuuBBBB                                                                                                            
  242   ADD rrrr,nnnn                   oooooooo uuuAAAAA BBBBBBBB BBBBBBBB BBBBBBBB BBBBBBBB                                                                                 
  243   ADD rrrr,r                      oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  244   ADD rrrr,rr                     oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  245   ADD rrrr,rrr                    oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  246   ADD rrrr,rrrr                   oooooooo uuuAAAAA uuuBBBBB                                                                                                            
  247   AND (nnn,nnn),(nnn,nnn),n,rrr   oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF
  248   AND (nnn,nnn),(nnn,r),n,rrr     oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                  
  249   AND (nnn,nnn),(nnn,rr),n,rrr    oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                  
  250   AND (nnn,nnn),(nnn,rrr),n,rrr   oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                  
  251   AND (nnn,nnn),(nnn),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB CCCCCCCC CCCCCCCC CCCCCCCC DDDDDDDD uuuEEEEE                           
  252   AND (nnn,nnn),(rrr,nnn),n,rrr   oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD DDDDDDDD DDDDDDDD EEEEEEEE uuuFFFFF                  
  253   AND (nnn,nnn),(rrr,r),n,rrr     oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
  254   AND (nnn,nnn),(rrr,rr),n,rrr    oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
  255   AND (nnn,nnn),(rrr,rrr),n,rrr   oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC uuuDDDDD EEEEEEEE uuuFFFFF                                    
  256   AND (nnn,nnn),(rrr),n,rrr       oooooooo AAAAAAAA AAAAAAAA AAAAAAAA BBBBBBBB BBBBBBBB BBBBBBBB uuuCCCCC DDDDDDDD uuuEEEEE                                             
