Nr.  	Status	Compiled instruction                                      	Bytecodes (hex)                                               	Disassembled to                                           
 1027	OK    	SQR (ABC)                                                 	61, 14, 00                                                    	SQR (ABC)                                                 
 1028	OK    	SQR (XYZ), F10                                            	61, 4D, 7A                                                    	SQR (XYZ), F10                                            
 1029	OK    	SQR F11, (UVW)                                            	61, 31, 4B                                                    	SQR F11, (UVW)                                            
 1030	OK    	SQR F13                                                   	61, 00, 0D                                                    	SQR F13                                                   
 1031	OK    	SQR F13, VW                                               	61, 25, 5D                                                    	SQR F13, VW                                               
 1032	OK    	SQR F14, (0x12B3ED)                                       	61, 34, 0E, 12, B3, ED                                        	SQR F14, (0x12B3ED)                                       
 1033	OK    	SQR F14, F0                                               	61, 1C, E0                                                    	SQR F14, F0                                               
 1034	OK    	SQR F4, PQRS                                              	61, 2C, F4                                                    	SQR F4, PQRS                                              
 1035	OK    	SQR F5, W                                                 	61, 21, 65                                                    	SQR F5, W                                                 
 1036	OK    	SQR F7, 0.014064269                                       	61, 38, 07, 3C, 66, 6D, D2                                    	SQR F7, 0.014064269                                       
 1037	OK    	SQR F9, ABC                                               	61, 28, 09                                                    	SQR F9, ABC                                               
 1038	OK    	SQR GHI                                                   	61, 0C, 06                                                    	SQR GHI                                                   
 1039	OK    	SQR IJ                                                    	61, 08, 08                                                    	SQR IJ                                                    
 1040	OK    	SQR JKLM                                                  	61, 10, 09                                                    	SQR JKLM                                                  
 1041	OK    	SQR M, F13                                                	61, 3C, CD                                                    	SQR M, F13                                                
 1042	OK    	SQR RSTU, F6                                              	61, 49, 16                                                    	SQR RSTU, F6                                              
 1043	OK    	SQR VWX, F3                                               	61, 45, 53                                                    	SQR VWX, F3                                               
 1044	OK    	SQR XY, F1                                                	61, 41, 71                                                    	SQR XY, F1                                                
 1045	OK    	SQR Y                                                     	61, 04, 18                                                    	SQR Y                                                     
 1046	OK    	SR ABC, P                                                 	07, 14, 0F                                                    	SR ABC, P                                                 
 1047	OK    	SR D, F                                                   	07, 04, 65                                                    	SR D, F                                                   
 1048	OK    	SR I, 0x02                                                	07, 01, 02                                                    	SR I, 0x02                                                
 1049	OK    	SR KL, 0x05                                               	07, 09, 45                                                    	SR KL, 0x05                                               
 1050	OK    	SR MNO, 0x0F                                              	07, 11, 8F                                                    	SR MNO, 0x0F                                              
 1051	OK    	SR QRST, V                                                	07, 1E, 15                                                    	SR QRST, V                                                
 1052	OK    	SR RSTU, 0x03                                             	07, 1A, 23                                                    	SR RSTU, 0x03                                             
